user1|2014-07-08 16:59:27|Iphone5s|4999|0
user2|2014-07-08 16:59:31|withdraw|1000|50
user1|2014-07-08 16:59:56|withdraw|500|25
user2|2014-07-09 14:38:33|cashin|3456|0
user2|2014-07-09 14:39:10|Coffee|35|0user1|2016-06-10 08:10:20|Car|250000|0  
user1|2016-06-10 08:10:50|Car|250000|0  
user1|2016-06-10 08:13:17|Coffee|35|0  
user1|2016-06-10 08:17:38|Clothes|399|0  
user1|2016-06-10 08:18:44|Clothes|399|0  
user1|2016-06-10 08:31:12|Foods|68|0  
user1|2016-06-10 08:40:40|Bicycle|1688|0  
user2|2016-06-10 08:40:59|Car|250000|0
user2|2016-06-10 08:45:08|Car|250000|0
user2|2016-06-10 09:07:18|withdraw|15000|750
user1|2016-06-10 10:36:20|Clothes|399|0  
user2|2016-06-10 10:39:21|Clothes|399|0  
user2|2016-06-10 10:46:54|Bicycle|1688|0

user1|2016-06-10 10:59:47|cash|123|0  
